FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.1083    0.00315635    -0.800307    0.00140077    -1e-05    0.00117788    0.00367164
-6    -1.07523    0.00358709    -0.805662    0.00142338    -4e-05    0.00118042    0.00479389
-4    -1.04227    0.00526001    -0.808978    0.00224301    -0.00016    0.0015106    0.00628128
-2    -1.00854    0.00636625    -0.810415    0.00241762    -8e-05    0.00191209    0.0081756
0.0001    -0.972128    0.0082009    -0.808816    0.00315811    -4e-05    0.00256094    0.010612
0.135692    -0.967862    0.00627664    -0.807392    0.00361424    -0.000495    0.0027859    0.0108151
0.271283    -0.967378    0.0067665    -0.808876    0.00391708    0.00018    0.00291335    0.0109976
0.406875    -0.963693    0.00809318    -0.807788    0.00422094    -0.00048    0.00306547    0.0111949
0.542466    -0.960899    0.00755561    -0.807525    0.00398558    -0.000325    0.00323583    0.0114127
0.678058    -0.956073    0.00755792    -0.806912    0.00370355    -0.000825    0.00318011    0.0116029
0.813649    -0.956158    0.00739121    -0.807279    0.00433127    -0.000445    0.00310897    0.0118083
0.949241    -0.952916    0.00745464    -0.806649    0.00428956    -0.00047    0.00304821    0.0120396
1.08483    -0.949484    0.00703599    -0.805824    0.0035374    -0.00045    0.00280891    0.0122508
1.22042    -0.945101    0.0112741    -0.803046    0.00822105    0.001225    0.00545029    0.012522
1.35602    -0.942826    0.008621    -0.804263    0.00497449    -0.00137    0.00322306    0.0127008
1.49161    -0.939228    0.00953244    -0.802728    0.00536967    -0.00075    0.00415632    0.0129572
1.6272    -0.937054    0.00936036    -0.802508    0.00537766    5e-06    0.0039024    0.0132038
1.76279    -0.933581    0.00922945    -0.80193    0.00543413    -0.00113    0.00410708    0.0134261
1.89838    -0.927856    0.0119548    -0.79739    0.0117433    -0.002205    0.00804902    0.0137604
2.03397    -0.901395    0.00850306    -0.772865    0.00624013    0.01608    0.0046689    0.0142298
2.16956    -0.819059    0.0313625    -0.644798    0.0480842    0.07575    0.0227064    0.0139485
2.30516    -0.791816    0.00926341    -0.609424    0.00775366    0.07997    0.00391237    0.0141037
2.44075    -0.704905    0.00867453    -0.467995    0.00404418    -0.002545    0.00325565    0.0136403
2.57634    -0.702095    0.00772197    -0.466603    0.00504334    -0.003465    0.00431422    0.0139022
2.71193    -0.698142    0.00760008    -0.467089    0.00429305    -0.00245    0.00400468    0.0141197
2.84752    -0.694187    0.0106433    -0.466563    0.00432355    -0.00269    0.00372007    0.01436
2.98311    -0.602941    0.0193555    -0.387142    0.0195507    -0.093535    0.0212458    0.0143321
3.11871    -0.592666    0.00961881    -0.378971    0.0054317    -0.102745    0.00367542    0.014429
3.2543    -0.588187    0.00889766    -0.378397    0.00487051    -0.101915    0.00356287    0.0146527
3.38989    -0.584807    0.00966007    -0.37784    0.00406761    -0.102535    0.0038804    0.0148509
3.52548    -0.528884    0.0497322    -0.295783    0.0850445    -0.13221    0.0435402    0.0152356
3.66107    -0.465727    0.0102461    -0.188573    0.00744114    -0.18923    0.00541683    0.0151021
3.79666    -0.473434    0.0123192    -0.200633    0.0112648    -0.196685    0.00728626    0.0150719
3.93225    -0.22618    0.0796293    0.206685    0.14649    -0.27804    0.0283862    0.0137838
4.06785    -0.0801872    0.00991484    0.463117    0.00386897    -0.19614    0.00367633    0.0124751
4.20344    -0.0362175    0.0446702    0.497728    0.0401274    -0.15461    0.0461274    0.0124244
4.33903    0.0239898    0.00993801    0.54271    0.00372764    -0.098975    0.00378492    0.0121908
4.47462    0.0285043    0.0088715    0.542384    0.00411926    -0.09867    0.00349372    0.0123375
4.61021    0.0304519    0.0103792    0.541818    0.00441003    -0.0989    0.00441022    0.0124886
4.7458    0.0338222    0.0107289    0.54182    0.00422428    -0.096015    0.00493366    0.0126373
4.88139    0.123766    0.00787826    0.543548    0.00408208    -0.002275    0.00372601    0.0120669
5.01699    0.337601    0.0458287    0.328736    0.0717826    0.166805    0.0425605    0.0106902
5.15258    0.414743    0.00744732    0.207216    0.00482022    0.097335    0.00384012    0.0101085
5.28817    0.418694    0.00746698    0.206493    0.00370764    0.097585    0.00371336    0.0101523
5.42376    0.419122    0.0086486    0.207159    0.00306553    0.096495    0.00383585    0.0102548
5.55935    0.428318    0.0116266    0.203169    0.013257    0.097775    0.00935351    0.0103228
5.69494    0.5524    0.0450092    -0.0175533    0.0772365    0.15712    0.0454361    0.00907596
5.83054    0.707607    0.0060423    -0.126217    0.00510462    0.19512    0.00272086    0.00767475
5.96613    0.712427    0.0061375    -0.127074    0.00503891    0.194045    0.00348629    0.007657
6.10172    0.712884    0.00687922    -0.12617    0.00394198    0.19426    0.00218687    0.00765302
6.23731    0.803005    0.00673361    -0.299528    0.00607587    0.095705    0.00361548    0.00702201
6.3729    0.804267    0.00707627    -0.29886    0.00567925    0.096185    0.00372552    0.00700921
6.50849    0.896471    0.0047574    -0.464765    0.00174283    0.0002    0.00181728    0.00622513
6.64408    0.899753    0.00508551    -0.465221    0.00215453    0.00018    0.00168006    0.00618995
6.77968    0.902317    0.00504798    -0.465702    0.00334263    0.00081    0.00216076    0.00617021
6.91527    0.914701    0.0292312    -0.483294    0.0495726    0.01089    0.0293169    0.00606931
7.05086    1.0929    0.00386653    -0.803269    0.00192585    -0.000195    0.00110938    0.00416606
7.18645    1.09489    0.00367392    -0.802834    0.00150521    -7e-05    0.00111247    0.00408779
7.32204    1.09692    0.00266393    -0.802137    0.00132272    9e-05    0.00131792    0.00401648
7.45763    1.09942    0.00303991    -0.802157    0.00145288    9.5e-05    0.000961626    0.0039516
7.59323    1.10241    0.00248127    -0.80175    0.00128543    0.000135    0.00119918    0.00387298
7.72882    1.10364    0.003485    -0.801178    0.00158204    0.000165    0.000914617    0.00381066
7.86441    1.10635    0.00319116    -0.800757    0.00138085    -0.000305    0.00108776    0.0037419
8    1.10949    0.00291232    -0.800455    0.00147189    0.00037    0.00112721    0.00367821
