FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.10626    0.00349912    -0.799906    0.00156835    0.00068    0.000986205    0.00373203
-6    -1.07324    0.0041191    -0.80562    0.0016884    0.00053    0.00129194    0.0048846
-4    -1.04138    0.00465851    -0.808905    0.00211129    0.000785    0.00156286    0.00639343
-2    -1.00577    0.00512791    -0.810002    0.00200158    0.00109    0.00188862    0.00827581
0.0001    -0.969712    0.00655989    -0.808455    0.00345873    0.002215    0.00260817    0.0106273
0.135692    -0.967672    0.00722628    -0.808924    0.00349654    0.00249    0.00238849    0.0108165
0.271283    -0.966323    0.00752818    -0.808816    0.00333055    0.002585    0.00228725    0.0109835
0.406875    -0.961663    0.00718051    -0.808205    0.00351731    0.002275    0.00242912    0.0111714
0.542466    -0.958016    0.00805702    -0.807071    0.00473564    0.00297    0.00312356    0.011389
0.678058    -0.95454    0.00779635    -0.806098    0.00429232    0.00299    0.00272303    0.0115682
0.813649    -0.951539    0.00810155    -0.805574    0.00531613    0.003515    0.00390462    0.0117816
0.949241    -0.949258    0.00792937    -0.805877    0.00463844    0.00246    0.00329255    0.0119748
1.08483    -0.947189    0.00839481    -0.805789    0.00444746    0.002695    0.00281527    0.0121812
1.22042    -0.943604    0.00892005    -0.80338    0.00706008    0.00478    0.00462727    0.0124304
1.35602    -0.943735    0.00764665    -0.80649    0.00396885    0.00319    0.00261465    0.0126013
1.49161    -0.938853    0.0074274    -0.803767    0.00572431    0.0033    0.00391982    0.0128828
1.6272    -0.935131    0.00849759    -0.80301    0.00498233    0.00482    0.00344784    0.0130922
1.76279    -0.922105    0.0132439    -0.792067    0.0117883    0.009545    0.00768988    0.0134855
1.89838    -0.92686    0.00983378    -0.801243    0.00599302    0.00477    0.00426493    0.0135706
2.03397    -0.90928    0.00950563    -0.783709    0.00644612    0.015125    0.00432673    0.0141222
2.16956    -0.910859    0.0151122    -0.788831    0.0131276    0.00937    0.00978407    0.0142444
2.30516    -0.911012    0.0149428    -0.791102    0.0144293    0.00491    0.00568348    0.0144671
2.44075    -0.796933    0.0201167    -0.617005    0.0251591    -0.08549    0.0119518    0.0144708
