FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.10895    0.00287957    -0.80025    0.00166445    -0.000125    0.00124925    0.00350314
-6    -1.07367    0.00389496    -0.805151    0.00175969    -0.000135    0.00132496    0.00458891
-4    -1.0423    0.00462923    -0.809137    0.00175015    3.5e-05    0.00125798    0.00601969
-2    -1.01007    0.00453376    -0.811071    0.00213518    -0.000365    0.00180984    0.0078519
0.0001    -0.974541    0.00729184    -0.810154    0.00336416    -0.0007    0.00230814    0.0101754
0.135692    -0.973811    0.00568909    -0.810775    0.00266444    -0.0011    0.00269722    0.0103514
0.271283    -0.969548    0.00731154    -0.809039    0.00407287    -0.000665    0.00231766    0.0105548
0.406875    -0.967297    0.00598172    -0.809264    0.00355991    -0.00151    0.00223101    0.0107346
0.542466    -0.957585    0.0085903    -0.80251    0.00667642    -0.004925    0.00411438    0.0109674
0.678058    -0.961406    0.00755234    -0.808453    0.00389235    -0.001075    0.00274192    0.0111299
0.813649    -0.959834    0.00722483    -0.809081    0.00366409    -0.000905    0.00259465    0.0113124
0.949241    -0.949007    0.0092019    -0.801017    0.00728027    -0.005955    0.00456582    0.0115785
1.08483    -0.953003    0.00655962    -0.808059    0.00336903    -0.001175    0.00256235    0.0117343
1.22042    -0.950617    0.00767247    -0.807128    0.00389215    -0.001265    0.00335015    0.0119782
1.35602    -0.946642    0.00855055    -0.806551    0.00389112    -0.001785    0.00327224    0.0121821
1.49161    -0.943909    0.00828402    -0.806155    0.00431465    -0.001025    0.00267079    0.0123978
1.6272    -0.933405    0.0081612    -0.796925    0.00726527    -0.007045    0.00462106    0.0126842
1.76279    -0.933313    0.00906933    -0.79943    0.00794256    -0.005    0.00487083    0.0128841
1.89838    -0.933621    0.0102028    -0.802847    0.00723276    0.000545    0.00449602    0.0131635
2.03397    -0.922956    0.0109805    -0.79501    0.00806717    -0.006975    0.00536918    0.0133838
2.16956    -0.917255    0.0102187    -0.789345    0.00611973    -0.008675    0.0047498    0.0136551
2.30516    -0.912167    0.00675944    -0.786775    0.00626427    -0.008415    0.00547805    0.0139376
2.44075    -0.907621    0.00858276    -0.78742    0.00489331    -0.00946    0.00406859    0.0141509
2.57634    -0.798401    0.0137122    -0.633504    0.0213639    0.084085    0.0127242    0.0137856
2.71193    -0.786593    0.0118984    -0.617544    0.00924143    0.087155    0.00693161    0.0140009
2.84752    -0.790845    0.010715    -0.626317    0.00864307    0.08875    0.0060998    0.0141626
2.98311    -0.701432    0.00754615    -0.467588    0.00433178    -0.001625    0.00398819    0.0138655
3.11871    -0.585366    0.0104689    -0.292465    0.0114297    0.09259    0.0082085    0.0135153
3.2543    -0.56997    0.00895528    -0.276364    0.00557617    0.08353    0.00478373    0.0138819
3.38989    -0.399757    0.030146    -0.0658982    0.0484578    0.110365    0.0274595    0.0130636
3.52548    -0.235179    0.0362096    0.196729    0.0668698    0.04296    0.0393535    0.0123219
3.66107    -0.181997    0.00629921    0.291568    0.00324067    0.097945    0.00228872    0.0118358
3.79666    -0.181997    0.0079988    0.291633    0.00208388    0.09815    0.00243362    0.011955
3.93225    -0.177824    0.00785382    0.291943    0.00276115    0.098055    0.00264731    0.0120914
4.06785    -0.169922    0.00929882    0.297947    0.00855312    0.1008    0.00593169    0.0123079
4.20344    -0.165829    0.0103415    0.297187    0.00743197    0.100405    0.0049842    0.0124981
4.33903    -0.0649108    0.0083714    0.292372    0.003218    -0.0008    0.00339153    0.0118914
4.47462    -0.0612803    0.00834515    0.293479    0.00335862    -0.001995    0.0053274    0.0120561
4.61021    0.0334929    0.0107861    0.293848    0.00718033    -0.096985    0.00497956    0.0115764
4.7458    0.0376269    0.0104591    0.294062    0.00550419    -0.09681    0.00395903    0.0117291
4.88139    0.134623    0.0081536    0.12705    0.00321936    -0.194555    0.00237923    0.0111074
5.01699    0.225577    0.00700942    0.127553    0.00331653    -0.293055    0.00323971    0.0105888
5.15258    0.233165    0.0110522    0.127376    0.00297069    -0.298275    0.00828858    0.0107682
5.28817    0.415425    0.00693542    0.1309    0.00321155    -0.490995    0.00277466    0.00956383
5.42376    0.42041    0.00749585    0.130359    0.00248689    -0.48836    0.00417467    0.00962656
5.55935    0.494754    0.0340425    -0.0014279    0.0663742    -0.41305    0.0383063    0.00928335
5.69494    0.515189    0.00819482    -0.0380377    0.00229238    -0.391485    0.00263553    0.0091316
5.83054    0.614722    0.00819361    0.0414179    0.00775925    -0.48645    0.00490968    0.00837246
5.96613    0.611503    0.00683418    0.0459389    0.00279451    -0.48879    0.00212859    0.00837066
6.10172    0.707632    0.00653315    -0.123137    0.00302972    -0.39157    0.00225723    0.00754507
6.23731    0.712215    0.00565872    -0.124291    0.0027374    -0.39049    0.00215752    0.00755826
6.3729    0.792451    0.0253145    -0.273398    0.0510602    -0.30569    0.0289285    0.00697217
6.50849    0.900216    0.0046181    -0.465643    0.00204104    -0.195    0.00140357    0.00590901
6.64408    0.901553    0.00409066    -0.464971    0.00171889    -0.194855    0.00157169    0.0058701
6.77968    0.90475    0.00584191    -0.466307    0.00470513    -0.194025    0.00292842    0.00585958
6.91527    0.907004    0.00465467    -0.465353    0.00364506    -0.194205    0.00237471    0.00581641
7.05086    0.908821    0.00559876    -0.465507    0.00372971    -0.194185    0.00233977    0.00579988
7.18645    1.00839    0.00367693    -0.630264    0.0017578    -0.097565    0.00125977    0.00472517
7.32204    1.01023    0.00372717    -0.629973    0.00153722    -0.097935    0.00119039    0.00467395
7.45763    1.01323    0.00408199    -0.629977    0.00215526    -0.097285    0.00156126    0.00463198
