FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.1073    0.00301894    -0.799914    0.00151834    0.00011    0.00117171    0.00368066
-6    -1.07427    0.00356215    -0.804908    0.00159287    -0.000175    0.00135023    0.0048275
-4    -1.04071    0.00492901    -0.808272    0.00216368    -0.000275    0.00153887    0.00634399
-2    -1.00679    0.00529488    -0.809667    0.00202474    -0.00072    0.00170488    0.00828441
0.0001    -0.969649    0.00601365    -0.808317    0.00352193    -0.001355    0.00302576    0.0107536
0.135692    -0.968065    0.00616518    -0.808044    0.00265057    -0.00148    0.00247075    0.0109445
0.271283    -0.965447    0.00849021    -0.807087    0.00404921    -0.002315    0.00312602    0.0111506
0.406875    -0.965246    0.00806322    -0.808375    0.00399598    -0.00056    0.00244211    0.0113434
0.542466    -0.958699    0.00734564    -0.806484    0.00408062    -0.00171    0.00259343    0.0115657
0.678058    -0.957446    0.00686254    -0.806064    0.00381807    -0.00273    0.00324801    0.0117531
0.813649    -0.954112    0.00784065    -0.806382    0.00440817    -0.00185    0.00251496    0.0119704
0.949241    -0.951393    0.00857519    -0.804993    0.00479487    -0.002345    0.0032515    0.0121946
1.08483    -0.950329    0.0074732    -0.80599    0.0042324    -0.00129    0.00318173    0.0124033
1.22042    -0.946849    0.0078646    -0.804777    0.00499679    -0.00292    0.00356176    0.0126533
1.35602    -0.941217    0.00789247    -0.801868    0.0051793    -0.00241    0.00328548    0.0128918
1.49161    -0.932108    0.00895084    -0.79606    0.00730292    -0.00781    0.00483181    0.0132918
1.6272    -0.926642    0.00791673    -0.787179    0.0100688    -0.01123    0.00707828    0.0135136
1.76279    -0.918864    0.00837429    -0.779034    0.00602431    -0.01492    0.00467906    0.0138215
1.89838    -0.908135    0.0105766    -0.769676    0.00858952    -0.022155    0.00457408    0.0142637
2.03397    -0.913736    0.00904284    -0.778672    0.00553196    -0.01566    0.00475966    0.0143104
2.16956    -0.908512    0.00920881    -0.775979    0.00702326    -0.01582    0.00497821    0.0145973
2.30516    -0.903035    0.00864643    -0.773295    0.00569119    -0.01736    0.00447972    0.0148602
2.44075    -0.890079    0.0104583    -0.761686    0.00679154    -0.023205    0.00463673    0.0154027
2.57634    -0.886478    0.00981648    -0.759906    0.00668442    -0.024025    0.00599422    0.0157125
2.71193    -0.847959    0.0452888    -0.703797    0.0726189    -0.054575    0.0440123    0.0158882
2.84752    -0.747822    0.040731    -0.53518    0.0743002    -0.094325    0.0464901    0.0155961
2.98311    -0.677868    0.00912538    -0.419878    0.00652975    -0.023525    0.00594774    0.0154479
3.11871    -0.675276    0.011843    -0.41634    0.00927679    -0.023315    0.00544514    0.0157337
3.2543    -0.674067    0.00893131    -0.420066    0.0043735    -0.02544    0.00415679    0.0159079
3.38989    -0.667416    0.0102251    -0.416904    0.00782642    -0.0217    0.00652246    0.0162423
3.52548    -0.613821    0.0407402    -0.415273    0.00749677    0.025795    0.0421609    0.0163166
3.66107    -0.521647    0.0585998    -0.340087    0.094321    0.028995    0.0552407    0.0160976
3.79666    -0.219798    0.0329853    0.18363    0.0566278    -0.275315    0.0315742    0.0135074
3.93225    -0.185979    0.0256249    0.221655    0.00668186    -0.28686    0.0247339    0.0133475
4.06785    0.0123659    0.00745807    0.383457    0.00200825    -0.29515    0.0050217    0.0118269
4.20344    0.104697    0.0163873    0.302067    0.0187206    -0.386855    0.02071    0.011623
4.33903    0.111298    0.0089209    0.295687    0.00197647    -0.39244    0.004347    0.0116044
4.47462    0.209009    0.00719078    0.29325    0.00306075    -0.295725    0.00373639    0.0108828
4.61021    0.211367    0.00729811    0.293392    0.00385815    -0.296415    0.0033829    0.0109525
4.7458    0.310817    0.00833279    0.291791    0.00631622    -0.200885    0.00432239    0.0105389
4.88139    0.313058    0.00791773    0.291505    0.00601648    -0.200125    0.00443318    0.0105999
5.01699    0.318843    0.0105646    0.289817    0.00765663    -0.200925    0.00454979    0.0106718
5.15258    0.325401    0.00909809    0.284032    0.00819694    -0.203175    0.00517234    0.0108913
5.28817    0.335141    0.0296441    0.28982    0.00720468    -0.189415    0.0310419    0.010782
5.42376    0.423514    0.00769386    0.290026    0.00673505    -0.103565    0.00452709    0.0100776
5.55935    0.424144    0.00806968    0.293099    0.00495992    -0.10071    0.00341554    0.0101188
5.69494    0.525751    0.00962882    0.11557    0.00729768    -0.006775    0.004512    0.0094807
5.83054    0.529322    0.0105461    0.112093    0.00982838    -0.009595    0.00703614    0.00958172
5.96613    0.712853    0.00807307    -0.229504    0.00717467    -0.20403    0.00472404    0.00818343
6.10172    0.715169    0.00819457    -0.229809    0.00662691    -0.20404    0.00429429    0.00819321
6.23731    0.90808    0.0053498    -0.568103    0.00375694    -0.012545    0.00264844    0.00645175
6.3729    0.908293    0.0064419    -0.565813    0.00480655    -0.011275    0.00273781    0.00640606
6.50849    0.908615    0.00685285    -0.56433    0.00630304    -0.00993    0.00425824    0.00637266
6.64408    0.913542    0.00528005    -0.566075    0.00462915    -0.01177    0.00293847    0.00632165
6.77968    1.08383    0.0139782    -0.799621    0.0145506    -0.00453    0.0161576    0.00441007
6.91527    1.08931    0.00301343    -0.802868    0.00159127    -0.000255    0.00144524    0.00426045
7.05086    1.09091    0.00319392    -0.802366    0.00136594    -5e-05    0.00107005    0.0041765
7.18645    1.09378    0.00332311    -0.802206    0.00150626    5e-05    0.0012145    0.00410141
7.32204    1.0954    0.00309921    -0.801751    0.00139783    0.000145    0.00120425    0.00403449
7.45763    1.0989    0.0033273    -0.801623    0.00169157    -3.5e-05    0.00104165    0.00395742
7.59323    1.09943    0.00402886    -0.800684    0.00159103    -4e-05    0.00110268    0.00388118
7.72882    1.10227    0.00286212    -0.800309    0.00148737    0.00017    0.00118895    0.00381951
7.86441    1.10433    0.00287758    -0.79979    0.00137419    -0.00012    0.00103952    0.00374447
8    1.10793    0.00279978    -0.799982    0.00134285    -2e-05    0.000927146    0.00367288
