FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.10686    0.00293466    -0.801045    0.00132048    -5e-05    0.000977241    0.00363482
-6    -1.07456    0.00342787    -0.806619    0.00154138    -0.00027    0.00120917    0.00473514
-4    -1.0429    0.00464971    -0.810737    0.00158568    -0.00055    0.00140801    0.00619658
-2    -1.01    0.00526408    -0.812335    0.00172239    -0.00075    0.00147479    0.00804858
0.0001    -0.975376    0.00640788    -0.811148    0.00352419    -0.00137    0.00219672    0.0104239
0.135692    -0.972244    0.00713276    -0.8112    0.00306083    -0.000855    0.00182694    0.0106048
0.271283    -0.971499    0.00663244    -0.811588    0.00318446    -0.001815    0.0025951    0.0108106
0.406875    -0.968595    0.00759387    -0.81123    0.00318779    -0.002045    0.00264844    0.011006
0.542466    -0.966504    0.0064264    -0.811063    0.00367812    -0.00138    0.00219843    0.0111931
0.678058    -0.962365    0.00726094    -0.810153    0.00471607    -0.00246    0.00343961    0.0114031
0.813649    -0.959199    0.00755407    -0.810294    0.00329727    -0.001785    0.00261678    0.0116025
0.949241    -0.956835    0.00693777    -0.809526    0.00372483    -0.003005    0.00301599    0.0118098
1.08483    -0.956196    0.00715183    -0.81015    0.00387319    -0.00093    0.00229349    0.0120082
1.22042    -0.951381    0.00932235    -0.808905    0.00506065    -0.00274    0.00317882    0.012258
1.35602    -0.946936    0.00757875    -0.808138    0.00453689    -0.00254    0.00418759    0.0124856
1.49161    -0.944775    0.00829561    -0.808203    0.00450386    -0.00222    0.00367547    0.0127015
1.6272    -0.93857    0.010274    -0.805811    0.00707238    -0.003785    0.005006    0.012959
1.76279    -0.937271    0.0106413    -0.805379    0.00746809    -0.004425    0.0051646    0.0131902
1.89838    -0.931853    0.0099667    -0.803184    0.00729033    -0.005605    0.00519377    0.0135026
2.03397    -0.927465    0.0139889    -0.8009    0.0095485    -0.007255    0.00652677    0.0137664
2.16956    -0.920608    0.010661    -0.797507    0.00729491    -0.00857    0.00495859    0.0140308
2.30516    -0.816567    0.00860855    -0.639435    0.00361945    -0.101585    0.00295449    0.0135891
2.44075    -0.794406    0.00864733    -0.619427    0.00545682    -0.09212    0.00346671    0.0140513
2.57634    -0.71355    0.00880639    -0.468072    0.00426584    -0.00176    0.00334326    0.0136984
2.71193    -0.71042    0.00783594    -0.468978    0.00344615    -0.002405    0.00331319    0.0138905
2.84752    -0.707048    0.00887582    -0.467078    0.0051563    -0.002225    0.00346455    0.0141797
2.98311    -0.702487    0.00938586    -0.466338    0.00630042    -0.00225    0.00430552    0.0144232
3.11871    -0.697647    0.00913666    -0.464264    0.00487711    -0.003765    0.00446638    0.014714
3.2543    -0.692011    0.0118936    -0.461013    0.00940219    -0.006055    0.00590811    0.0150317
3.38989    -0.676237    0.0289788    -0.442504    0.0386485    -0.016005    0.0228398    0.0153093
3.52548    -0.497607    0.0286451    -0.147303    0.0504852    -0.186425    0.0296701    0.0143439
3.66107    -0.448794    0.0389121    -0.0675964    0.0705218    -0.23415    0.0400949    0.0144161
3.79666    -0.382408    0.00952507    0.0466207    0.00486726    -0.297845    0.00605225    0.0141204
3.93225    -0.276739    0.0107705    0.0449821    0.00621277    -0.1983    0.00458421    0.0136554
4.06785    -0.270154    0.010565    0.0497001    0.00626286    -0.20081    0.00635365    0.0139741
4.20344    -0.176224    0.0158814    0.131531    0.0140727    -0.10961    0.0138144    0.0134842
4.33903    -0.167093    0.00870715    0.134751    0.00810353    -0.107035    0.00522877    0.0136295
4.47462    0.125346    0.00924693    0.378222    0.00557177    -0.00692    0.00504689    0.0113936
