FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.10643    0.00353376    -0.802033    0.00145159    0    0.000982344    0.00363045
-6    -1.0726    0.00364654    -0.807141    0.00165825    0.00022    0.00111763    0.00476589
-4    -1.04034    0.00482053    -0.81048    0.00219873    4.5e-05    0.00170784    0.00627458
-2    -1.00687    0.00578985    -0.812123    0.00218881    0.00056    0.00234551    0.00820302
0.0001    -0.970478    0.00767647    -0.810997    0.00309629    0.00042    0.00225136    0.0106567
0.135692    -0.968433    0.00716542    -0.811269    0.00263314    0.00054    0.00238975    0.0108588
0.271283    -0.965704    0.00684804    -0.811065    0.00280938    0.00084    0.0023821    0.0110614
0.406875    -0.965381    0.00627462    -0.81143    0.00302072    0.000505    0.00280111    0.0112554
0.542466    -0.960162    0.0083405    -0.809957    0.00365158    0.000685    0.00309589    0.0114684
0.678058    -0.956973    0.00764429    -0.810276    0.00298235    0.000495    0.00169742    0.0116558
0.813649    -0.955353    0.00582106    -0.809978    0.00269828    0.000185    0.00262193    0.0118767
0.949241    -0.951597    0.00714191    -0.809592    0.00331912    4.5e-05    0.0028691    0.012088
1.08483    -0.94904    0.00693305    -0.809077    0.00338537    0.000705    0.00245545    0.0123289
1.22042    -0.947253    0.00673847    -0.809281    0.00296233    0.000585    0.00260414    0.0125367
1.35602    -0.944564    0.00737936    -0.808945    0.0030307    0.00091    0.0028639    0.0127522
1.49161    -0.941889    0.00818338    -0.8086    0.00340555    0.000365    0.0025036    0.0130155
1.6272    -0.936008    0.00975282    -0.805207    0.00778521    0.000345    0.00374996    0.0132775
1.76279    -0.926466    0.00938667    -0.796429    0.00886205    -0.00528    0.00559657    0.0136335
1.89838    -0.929857    0.00789326    -0.806476    0.00433009    7.5e-05    0.002682    0.0137445
2.03397    -0.928177    0.00851599    -0.806677    0.00344559    0.0005    0.00306105    0.0140073
2.16956    -0.894141    0.00869727    -0.760956    0.00843091    -0.024915    0.00571831    0.014493
