FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.31443    0.00508506    -0.718748    0.00429802    0.000695    0.00295943    0.0192802
-6    -1.25375    0.00533328    -0.724318    0.00372757    0.001415    0.00370088    0.0227156
-4    -1.19192    0.00769782    -0.725261    0.0055811    0.001305    0.00289365    0.0271801
-2    -1.12876    0.0106626    -0.722564    0.00664448    0.002155    0.00484817    0.0329079
0.0001    -1.04405    0.0129125    -0.704077    0.0107681    0.00615    0.00976384    0.0405664
0.296393    -0.918394    0.0169937    -0.551744    0.0185093    0.09285    0.0132718    0.0416254
0.592685    -0.692738    0.0175157    -0.258027    0.0103882    0.10016    0.0104593    0.0414826
0.888978    -0.541799    0.0736759    -0.0617592    0.104382    0.0718    0.0430116    0.0420242
1.18527    -0.346261    0.0163594    0.189476    0.0121117    0.002875    0.0133771    0.0412942
1.48156    -0.000606958    0.0490243    0.359157    0.0340201    -0.12265    0.0411676    0.0393125
1.77786    0.14464    0.0562063    0.490375    0.0686981    -0.2342    0.0426545    0.0388983
2.07415    0.390833    0.0239639    0.34091    0.017056    -0.10871    0.031234    0.037253
2.37044    0.592739    0.0457353    0.0841919    0.06792    -0.062375    0.0420181    0.0355572
2.66673    0.773594    0.0983382    -0.167875    0.143153    0.023155    0.0811598    0.0341683
2.96303    1.15988    0.00833355    -0.725351    0.00522899    -0.0023    0.00501871    0.0299218
3.25932    1.16747    0.0103277    -0.724665    0.00619064    -0.002875    0.00492246    0.0290955
3.55561    1.17987    0.00861592    -0.725999    0.00524371    -0.00117    0.00374715    0.0282898
3.8519    1.18739    0.00762937    -0.725266    0.00579819    -0.001525    0.00346203    0.027519
4.1482    1.19715    0.0087576    -0.725933    0.00539482    -0.00143    0.00359132    0.0267919
4.44449    1.20593    0.00673475    -0.725905    0.00492202    -0.000355    0.00277313    0.0260926
4.74078    1.21592    0.00808669    -0.726582    0.00499186    -0.001435    0.00330485    0.0253222
5.03707    1.22547    0.00543436    -0.725506    0.00454585    -0.001955    0.00334764    0.0247118
5.33337    1.23313    0.00756113    -0.724207    0.00564642    -0.002165    0.00400893    0.0240737
5.62966    1.24224    0.00604296    -0.724703    0.0048561    -0.001595    0.00314042    0.0234464
5.92595    1.25093    0.0067147    -0.723352    0.00446406    -0.00134    0.00319248    0.0228526
6.22224    1.26227    0.00750891    -0.724744    0.00475327    -0.00139    0.00334446    0.0222747
6.51854    1.26975    0.00740079    -0.723746    0.00466898    -0.00108    0.0028572    0.0217497
6.81483    1.27786    0.00567546    -0.722705    0.00419013    -0.00122    0.00306906    0.0212012
7.11112    1.28775    0.00499753    -0.721164    0.00379392    -0.00094    0.00310305    0.0206769
7.40741    1.29551    0.00644104    -0.720484    0.00479567    -0.001395    0.00300462    0.0201951
7.70371    1.30478    0.00646062    -0.719861    0.00442363    -0.000315    0.00235468    0.0197303
8    1.31351    0.00619062    -0.718253    0.00427433    -0.00095    0.00288834    0.0192982
