FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.31135    0.00606401    -0.717417    0.00392687    0.000705    0.00274713    0.0197405
-6    -1.25245    0.00666413    -0.724568    0.00402199    0.00059    0.0034777    0.0232562
-4    -1.18796    0.00776372    -0.72511    0.00488902    0.00244    0.0035786    0.0277807
-2    -1.12402    0.010507    -0.723181    0.00565444    0.002585    0.0041568    0.0335217
0.0001    -0.964708    0.044723    -0.599502    0.0565435    -0.061065    0.0346663    0.0411576
0.296393    -0.917407    0.0135619    -0.552755    0.0118013    -0.088325    0.00839721    0.0419943
0.592685    -0.799839    0.0136297    -0.406029    0.0117401    -0.179405    0.00750431    0.0425365
0.888978    -0.400436    0.111113    0.0462016    0.0813528    -0.430085    0.0647783    0.0427796
1.18527    -0.0421638    0.0149072    0.271477    0.0112797    -0.47365    0.00890702    0.0400722
1.48156    0.180678    0.0146905    0.411416    0.0122608    -0.654695    0.0106672    0.0390486
1.77786    0.28928    0.0134098    0.41372    0.0087157    -0.563525    0.0074361    0.0382798
2.07415    0.309363    0.0165644    0.404526    0.0155583    -0.559745    0.00950651    0.0385008
2.37044    0.426822    0.0240555    0.239618    0.0270635    -0.455185    0.0183601    0.0380233
2.66673    0.787595    0.0516164    -0.195989    0.0739907    -0.237245    0.0431939    0.0345594
2.96303    0.953106    0.0133181    -0.426282    0.00951219    -0.187265    0.00603788    0.0325153
3.25932    1.16325    0.00946921    -0.722091    0.00636822    -0.004205    0.00417214    0.0296961
3.55561    1.17374    0.00825572    -0.723246    0.00549798    -0.002395    0.00320238    0.0289228
3.8519    1.18367    0.00735178    -0.72431    0.00509068    -0.001755    0.00410746    0.0281388
4.1482    1.19256    0.00928419    -0.7243    0.0058425    -0.00224    0.00415089    0.0273691
4.44449    1.2038    0.00883523    -0.724317    0.00470395    -0.001285    0.00345507    0.0266654
4.74078    1.21225    0.00730881    -0.7249    0.003885    -0.00263    0.00378558    0.0259519
5.03707    1.22094    0.00821484    -0.723858    0.00431795    -0.00074    0.00345216    0.0252766
5.33337    1.23002    0.00771852    -0.722766    0.00481667    -0.002015    0.00304648    0.0246376
5.62966    1.24059    0.00632718    -0.72575    0.0047251    -0.0018    0.00387685    0.0239719
5.92595    1.24826    0.00677169    -0.723632    0.00418302    -0.00207    0.00274046    0.02339
6.22224    1.2573    0.00758921    -0.723372    0.00456775    -0.001345    0.00294911    0.0227934
6.51854    1.26679    0.00664785    -0.722381    0.0043398    -0.000605    0.00293219    0.0222657
6.81483    1.2752    0.00656663    -0.72155    0.00406633    -0.001985    0.00328611    0.0217104
7.11112    1.28533    0.00637044    -0.721694    0.00406372    -0.00049    0.00286791    0.0212013
7.40741    1.2935    0.00722406    -0.720147    0.00421496    -0.000785    0.00251048    0.0206955
7.70371    1.30257    0.00656357    -0.718341    0.0047086    -0.00076    0.00326227    0.0202283
8    1.31243    0.00479952    -0.718612    0.00287776    -0.0012    0.00280758    0.0197544
