FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.30909    0.00584171    -0.718588    0.00396325    -0.00063    0.00223341    0.0196043
-6    -1.25038    0.00684431    -0.724974    0.00440019    -0.000555    0.00268854    0.0231009
-4    -1.18694    0.0091887    -0.725351    0.00521524    -0.00153    0.00373117    0.0276193
-2    -1.12155    0.0107817    -0.722879    0.00700122    -0.0007    0.00470346    0.0333981
0.0001    -1.03988    0.0132876    -0.706033    0.00939238    -0.003345    0.00893125    0.041053
0.296393    -0.914944    0.0135606    -0.556344    0.0114959    -0.09715    0.0102913    0.0419386
0.592685    -0.892642    0.0170156    -0.546727    0.0167505    -0.099485    0.0123814    0.0432534
0.888978    -0.569442    0.0151124    -0.1015    0.0123444    0.19083    0.0107108    0.0426883
1.18527    -0.242254    0.0167277    0.346385    0.00560069    0.28726    0.0110751    0.041271
1.48156    -0.121501    0.0259485    0.354996    0.00967893    0.37658    0.0233004    0.0413205
1.77786    0.231958    0.0603739    0.414327    0.0102525    0.24274    0.0506121    0.038841
2.07415    0.318271    0.0134391    0.412232    0.00918894    0.179545    0.00805756    0.0379363
2.37044    0.521246    0.0331089    0.209266    0.047601    0.01075    0.0286672    0.0363905
2.66673    0.549319    0.0152865    0.183427    0.0166265    -0.003345    0.00775208    0.0359885
2.96303    0.799923    0.0425542    -0.16567    0.0612234    -0.0325    0.0398048    0.0337105
3.25932    1.0341    0.0429326    -0.519258    0.0722791    0.058005    0.045858    0.0309252
3.55561    1.17303    0.0100577    -0.725325    0.00594617    -0.00059    0.00359366    0.0287774
3.8519    1.1822    0.00894268    -0.725897    0.00535846    0.00135    0.00433042    0.0279934
4.1482    1.19186    0.0083874    -0.724974    0.00489004    0.00091    0.00363516    0.0272461
4.44449    1.2015    0.00823933    -0.725428    0.00505483    0.00072    0.00348089    0.0265289
4.74078    1.21132    0.0085536    -0.725036    0.00610746    0.000615    0.00347427    0.0257894
5.03707    1.21861    0.00755662    -0.72494    0.00465932    0.000265    0.00369608    0.0251473
5.33337    1.23005    0.00682655    -0.726018    0.00367602    0.00075    0.0038321    0.0244911
5.62966    1.23657    0.00726713    -0.724353    0.0052246    0.00013    0.00313697    0.023849
5.92595    1.24708    0.00673957    -0.725279    0.00427371    0.000275    0.00314056    0.0232604
6.22224    1.25939    0.00623155    -0.724827    0.00452832    0.000735    0.00290018    0.022655
6.51854    1.26664    0.00707226    -0.724058    0.0045375    0.00078    0.00330251    0.0221259
6.81483    1.27427    0.00746807    -0.722521    0.0048711    0.00107    0.0030046    0.0215468
7.11112    1.2831    0.00860484    -0.721622    0.0041878    0.00047    0.00307435    0.0210364
7.40741    1.29139    0.0062579    -0.720131    0.00442143    0.00057    0.00333393    0.020554
7.70371    1.30205    0.00494836    -0.720122    0.00393994    -0.00041    0.00287348    0.0200384
8    1.31126    0.00634984    -0.718486    0.00420063    -1.5e-05    0.00276876    0.0195997
