FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.31175    0.00607088    -0.718393    0.00413095    -3.5e-05    0.00266083    0.0195319
-6    -1.24967    0.00718834    -0.722748    0.00486728    -0.00158    0.00333895    0.0230788
-4    -1.1874    0.00858498    -0.724404    0.00542819    -0.001885    0.00442245    0.0276225
-2    -1.1207    0.00991293    -0.719117    0.00663257    -0.001905    0.00594661    0.0334408
0.0001    -1.03605    0.0136634    -0.700911    0.0110262    -0.005605    0.00868319    0.0411069
0.296393    -1.01489    0.017645    -0.691015    0.0153423    -0.001475    0.0111324    0.042654
0.592685    -0.830623    0.0463162    -0.445101    0.0660444    -0.153955    0.0505946    0.0436364
0.888978    -0.61626    0.0664275    -0.177354    0.0895216    -0.28931    0.0276347    0.0433971
1.18527    -0.207496    0.0696806    0.255254    0.0708036    -0.340745    0.0437862    0.0410317
1.48156    -0.0114927    0.0136669    0.334322    0.00919633    -0.284245    0.00673359    0.0398896
1.77786    0.369806    0.0526875    0.0361992    0.00760381    -0.32333    0.0465393    0.038204
2.07415    0.621899    0.0138707    -0.124307    0.0122069    -0.28146    0.00871828    0.0365264
2.37044    0.684486    0.0475318    -0.162285    0.035633    -0.33844    0.0434447    0.0355615
2.66673    0.947115    0.0110973    -0.42223    0.00806649    -0.186065    0.00695626    0.0329322
2.96303    0.957541    0.010019    -0.42381    0.00659598    -0.185    0.0064898    0.0322969
3.25932    1.16434    0.00837874    -0.724929    0.0049906    0.0031    0.00478069    0.0296029
3.55561    1.17149    0.00840229    -0.723    0.00497897    0.00257    0.00398561    0.0287703
3.8519    1.18394    0.00711902    -0.723896    0.00527242    0.001605    0.00353698    0.0280037
4.1482    1.19385    0.00769467    -0.726224    0.0046033    0.00247    0.00357409    0.0272515
4.44449    1.20206    0.00848539    -0.724899    0.00604313    0.00134    0.00368977    0.0265205
4.74078    1.21235    0.00755055    -0.725528    0.0045431    0.00069    0.00397258    0.0258185
5.03707    1.21987    0.00873991    -0.724482    0.00579382    0.001455    0.0039597    0.0250891
5.33337    1.23024    0.00868942    -0.723941    0.00636036    0.00236    0.00320825    0.0244918
5.62966    1.23905    0.00701003    -0.723644    0.00410125    0.00164    0.00416238    0.0238079
5.92595    1.24902    0.00686147    -0.723707    0.00404958    0.00155    0.00345471    0.0232046
6.22224    1.25914    0.0068791    -0.723992    0.00534195    0.000515    0.00336021    0.0226423
6.51854    1.26792    0.00768468    -0.722793    0.00444033    0.001815    0.00286304    0.0220533
6.81483    1.27331    0.00654721    -0.721079    0.00455439    0.00076    0.00298327    0.0215303
7.11112    1.28501    0.00776293    -0.721128    0.00441934    0.001895    0.00250803    0.0210005
7.40741    1.2958    0.00688633    -0.721045    0.00457197    0.001165    0.00255373    0.0204814
7.70371    1.302    0.00699503    -0.719156    0.00396484    0.00223    0.00276715    0.0200005
8    1.31192    0.0066046    -0.718435    0.00405149    0.00063    0.00273187    0.0195559
