FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.3112    0.0062868    -0.719897    0.00411363    -0.000705    0.00334466    0.0191842
-6    -1.25096    0.00774703    -0.724585    0.0052205    0.000145    0.00355355    0.0226181
-4    -1.19141    0.00858676    -0.72729    0.00458525    -0.000795    0.00275485    0.0270199
-2    -1.1207    0.0116975    -0.721169    0.00677827    -0.00092    0.00452284    0.0327925
0.0001    -1.04437    0.0122411    -0.707042    0.0115102    -0.00561    0.00917812    0.0403485
0.296393    -1.01842    0.0190451    -0.688934    0.0191314    -0.00543    0.0128752    0.042008
0.592685    -0.901409    0.0190627    -0.551616    0.0160608    -0.090925    0.0113092    0.0425272
0.888978    -0.581628    0.0160592    -0.111263    0.00827916    -0.000105    0.00825562    0.041595
1.18527    -0.240836    0.0217634    0.264526    0.00693995    0.289415    0.0124068    0.0406676
1.48156    -0.0295468    0.0260174    0.267653    0.0071556    0.28996    0.0219702    0.0397569
1.77786    0.161427    0.0445819    0.313315    0.0369443    0.313055    0.0424421    0.0387837
2.07415    0.407134    0.0157986    0.339288    0.0120387    0.47322    0.0089519    0.0368885
2.37044    0.527273    0.0161188    0.183669    0.0133782    0.56172    0.00911615    0.0361741
2.66673    0.813359    0.0793339    -0.224271    0.117919    0.31001    0.0722492    0.0337105
2.96303    1.05664    0.00878836    -0.575062    0.00592732    0.09437    0.00501454    0.0307305
3.25932    1.16634    0.00880804    -0.72633    0.00510464    0.00074    0.00416772    0.0289974
3.55561    1.17553    0.00944473    -0.725888    0.0060799    0.000425    0.00402686    0.028197
3.8519    1.18613    0.00696446    -0.727483    0.00509072    8e-05    0.00376578    0.0274448
4.1482    1.19398    0.00893207    -0.72761    0.00591183    0.00168    0.00426    0.0266698
4.44449    1.20512    0.00797648    -0.727858    0.00410058    0.00149    0.00332489    0.0259556
4.74078    1.21304    0.00817413    -0.726687    0.00525521    0.0009    0.00406356    0.0252775
5.03707    1.22374    0.00798533    -0.727376    0.00478363    0.000515    0.00306896    0.024584
5.33337    1.23232    0.00662461    -0.726195    0.00396974    0.001065    0.00314794    0.0239683
5.62966    1.24011    0.00812378    -0.725753    0.00499799    -4.5e-05    0.00342407    0.0233561
5.92595    1.25076    0.00690213    -0.725417    0.0042816    0.000645    0.00370442    0.0227743
6.22224    1.25945    0.00725558    -0.725563    0.00502393    -9.5e-05    0.00306182    0.0222041
6.51854    1.26623    0.00612707    -0.72459    0.00403338    0.000835    0.00311433    0.0216459
6.81483    1.27693    0.00595887    -0.723319    0.00399989    -2e-05    0.0030095    0.0211098
7.11112    1.28505    0.00571058    -0.722571    0.00413166    0.00109    0.00322326    0.0205783
7.40741    1.29704    0.00528721    -0.723562    0.00417125    -0.00031    0.0030576    0.0201157
7.70371    1.30297    0.00599827    -0.720987    0.00402833    0.00056    0.00254193    0.0196311
8    1.31252    0.00558371    -0.720099    0.00427752    3.5e-05    0.00273268    0.019179
