FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.31228    0.00490596    -0.720674    0.00357293    -0.001325    0.00271259    0.0190428
-6    -1.25223    0.00596091    -0.72572    0.00505005    -0.00157    0.00306637    0.0224698
-4    -1.19264    0.00717784    -0.728408    0.00470944    -0.00176    0.00354541    0.0268051
-2    -1.12562    0.00870477    -0.723826    0.00574581    -0.002085    0.00461292    0.0324298
0.0001    -1.04647    0.0145639    -0.708311    0.0148352    -0.00313    0.00769419    0.0398411
0.296393    -0.967834    0.0532717    -0.622802    0.0651911    -0.05357    0.0409021    0.0409742
0.592685    -0.689545    0.0165595    -0.256617    0.0128074    -0.09687    0.00675208    0.0407802
0.888978    -0.465227    0.017244    0.0419868    0.0102705    -0.096325    0.00935551    0.0404122
1.18527    -0.124946    0.0490045    0.482493    0.0350806    -0.16457    0.0417221    0.0388701
1.48156    -0.0250888    0.0126373    0.493348    0.00648892    -0.09446    0.00666603    0.0383665
1.77786    0.068048    0.0295221    0.493528    0.00702825    -0.15546    0.0304537    0.0388082
2.07415    0.315214    0.0353186    0.329892    0.027074    -0.00824    0.0290651    0.036742
2.37044    0.622577    0.0244449    0.0424308    0.0185162    -0.10082    0.0215883    0.034449
2.66673    0.855461    0.0101857    -0.266784    0.00618161    -0.096125    0.00517693    0.0324998
2.96303    0.964385    0.0104135    -0.417405    0.00561728    -0.00321    0.00488374    0.0311405
3.25932    1.03176    0.0475471    -0.50037    0.0698241    -0.05295    0.043715    0.0299821
3.55561    1.0852    0.0101867    -0.568849    0.00705397    -0.09446    0.00488937    0.0285793
3.8519    1.09906    0.0136556    -0.573866    0.0123684    -0.09278    0.00778374    0.0279923
4.1482    1.10302    0.00900968    -0.568549    0.00447374    -0.095325    0.00351292    0.0272688
4.44449    1.20622    0.00797516    -0.728631    0.00397943    0.000885    0.00329325    0.0257446
4.74078    1.21499    0.00699478    -0.72742    0.00491752    0.00106    0.00320568    0.0250822
5.03707    1.22217    0.00731789    -0.726683    0.00425229    0.001265    0.00363091    0.0243813
5.33337    1.23203    0.00904638    -0.7268    0.00511171    0.00125    0.00303686    0.0237643
5.62966    1.24043    0.00791294    -0.726142    0.00465652    0.00112    0.0030026    0.0231406
5.92595    1.24976    0.00678545    -0.725475    0.00461861    0.001545    0.00356745    0.0226028
6.22224    1.25831    0.00776362    -0.725074    0.00509119    0.00161    0.00285839    0.0220122
6.51854    1.26703    0.00717237    -0.72357    0.00499878    0.00165    0.00262059    0.0214588
6.81483    1.27566    0.00572456    -0.723353    0.0039924    0.00181    0.0029532    0.0209855
7.11112    1.28458    0.00489913    -0.722066    0.00389929    0.001545    0.00265174    0.0204407
7.40741    1.29642    0.00445424    -0.722428    0.00356861    0.001155    0.00333687    0.0199739
7.70371    1.30291    0.00614326    -0.720965    0.00460005    0.00066    0.00289213    0.0194925
8    1.31234    0.00603058    -0.719796    0.00433711    0.00056    0.00252713    0.0190311
