FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.30833    0.00548383    -0.719565    0.00364706    -0.001285    0.00276858    0.0192655
-6    -1.24825    0.00612247    -0.724988    0.00368121    -0.00011    0.00322186    0.0227901
-4    -1.18613    0.0088091    -0.727194    0.0056726    -0.00203    0.00364988    0.0273022
-2    -1.12142    0.00981738    -0.725102    0.00587116    -0.002965    0.00391855    0.0330544
0.0001    -1.02694    0.0319921    -0.693487    0.0359581    -0.01108    0.0231949    0.0407994
0.296393    -0.803636    0.0191307    -0.420548    0.0197888    -0.00488    0.0144371    0.041145
0.592685    -0.719471    0.0567826    -0.318108    0.0768299    -0.05521    0.0414823    0.0421701
0.888978    -0.648033    0.0263339    -0.230382    0.0277106    -0.102735    0.0181839    0.0428554
1.18527    -0.171181    0.0467729    0.419469    0.0713987    -0.51832    0.038556    0.0403233
1.48156    0.00566377    0.0554059    0.559324    0.0171771    -0.503285    0.0435128    0.0390951
1.77786    0.205196    0.0162961    0.641624    0.0114471    -0.65992    0.00847503    0.037881
2.07415    0.217261    0.0152632    0.634519    0.0132036    -0.655215    0.00891894    0.0380408
2.37044    0.553084    0.0166849    0.181776    0.015708    -0.372195    0.010542    0.035763
2.66673    0.764637    0.0143214    -0.116108    0.0109318    -0.372665    0.00910008    0.0337891
2.96303    0.779173    0.0130879    -0.124011    0.0115818    -0.367505    0.00844178    0.0333924
3.25932    1.02668    0.0467622    -0.50434    0.074812    -0.13663    0.0473079    0.0309914
3.55561    1.17195    0.00742366    -0.726903    0.00503633    0.0024    0.00414759    0.0284642
3.8519    1.18319    0.0075857    -0.728723    0.00447156    0.00169    0.002923    0.027687
4.1482    1.19262    0.00774987    -0.72854    0.00385533    0.002225    0.00299134    0.0269055
4.44449    1.20129    0.00740443    -0.72752    0.00530319    0.00147    0.00338698    0.0261959
4.74078    1.20967    0.0104736    -0.727795    0.00477024    0.00159    0.00352518    0.0255016
5.03707    1.22103    0.00877436    -0.72832    0.00473968    0.00115    0.00370473    0.0248533
5.33337    1.22885    0.00921594    -0.7267    0.00557004    0.00142    0.00338542    0.0241706
5.62966    1.23901    0.00826879    -0.726714    0.00520046    0.0013    0.00293002    0.023545
5.92595    1.24652    0.00516054    -0.72585    0.00363299    0.00091    0.00313399    0.022947
6.22224    1.25484    0.00790339    -0.725987    0.00442484    0.000435    0.00293888    0.0223765
6.51854    1.26459    0.0074878    -0.724437    0.00421397    0.001345    0.00268602    0.0218125
6.81483    1.27185    0.00736008    -0.722663    0.00408518    0.001525    0.00335978    0.021252
7.11112    1.28309    0.00651855    -0.72334    0.00392487    0.00035    0.00314603    0.0207578
7.40741    1.29022    0.00673434    -0.722057    0.00351709    0.00094    0.00295743    0.0202127
7.70371    1.3018    0.00639941    -0.722116    0.00413953    0.001385    0.00301671    0.0197589
8    1.30832    0.00716018    -0.720158    0.00494263    0.000775    0.00317027    0.0192826
