FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    0.0113469    0.00560576    0.815019    0.00228327    0.98625    0.0021616    0.00959839
0.127083    0.0148314    0.00641931    0.814132    0.00283615    0.98599    0.00217081    0.00958633
0.254065    0.0173403    0.00608319    0.814789    0.00290284    0.986375    0.00238603    0.00960729
0.381048    0.0209875    0.00657365    0.814378    0.00256108    0.986245    0.00227128    0.00961014
0.50803    0.0203842    0.00640308    0.813945    0.00349965    0.985715    0.00273999    0.00961283
0.635013    0.0245776    0.00586859    0.814674    0.00259537    0.98652    0.00210169    0.00963468
0.761995    0.0257764    0.00581436    0.813871    0.0027605    0.98575    0.00199499    0.00964572
0.888978    0.0269369    0.00714476    0.814648    0.00207795    0.9864    0.00168449    0.00966288
1.01596    0.0296311    0.00611292    0.813617    0.00340629    0.985685    0.00256018    0.0097086
1.14294    0.0319716    0.0065163    0.81392    0.00268194    0.98588    0.00220468    0.00972113
1.26993    0.032841    0.00619376    0.814801    0.00241965    0.986485    0.00198457    0.00974301
1.39691    0.0375256    0.00741142    0.813337    0.00323548    0.98531    0.00261561    0.00978828
1.52389    0.0377634    0.00590389    0.813604    0.00321696    0.98561    0.0024511    0.00982289
1.65087    0.0411996    0.00700294    0.812998    0.00327143    0.98506    0.00254733    0.00985425
1.77786    0.0445359    0.00648386    0.812581    0.00335336    0.984885    0.00272956    0.00989962
1.90484    0.0449601    0.00570988    0.81285    0.00330714    0.985065    0.00266965    0.00995255
2.03182    0.046625    0.00717085    0.812881    0.00243979    0.98494    0.00188186    0.00999697
2.1588    0.0495211    0.00654073    0.811702    0.00417061    0.98441    0.00286826    0.0100618
2.28579    0.0527471    0.00589954    0.81216    0.00363818    0.984515    0.00273149    0.0101157
2.41277    0.0564185    0.00578275    0.811712    0.00304833    0.98436    0.00218584    0.0101826
2.53975    0.0583938    0.00656889    0.810703    0.00387765    0.983415    0.00283355    0.0102228
2.66673    0.0687733    0.0129849    0.800977    0.0116324    0.97785    0.00733468    0.0104338
2.79372    0.0698099    0.0111449    0.804514    0.0111571    0.979675    0.00715144    0.0104371
2.9207    0.0652906    0.00726006    0.809074    0.00425022    0.982485    0.00283479    0.0104525
3.04768    0.0831093    0.0103133    0.794795    0.00801483    0.97367    0.00529727    0.0107941
3.17466    0.072449    0.00646567    0.807987    0.00457661    0.981825    0.00324933    0.0106162
3.30165    0.0754073    0.00869469    0.807267    0.0054595    0.981235    0.00362022    0.0107118
3.42863    0.0776845    0.00765557    0.806081    0.00425041    0.98028    0.00298314    0.0107968
3.55561    0.079693    0.00948108    0.805954    0.00666578    0.9802    0.00445421    0.0109018
3.68259    0.104054    0.0101751    0.781902    0.00776009    0.965665    0.00519365    0.0111492
3.80958    0.145173    0.0179131    0.734083    0.0269849    0.93624    0.0160336    0.0115655
3.93656    0.284859    0.00488497    0.467256    0.00365526    0.78496    0.00262553    0.00999866
4.06354    0.289212    0.0080795    0.466284    0.0038921    0.783895    0.00281873    0.0100643
4.19052    0.291708    0.00809236    0.463665    0.00688504    0.78224    0.0043586    0.010152
4.31751    0.320728    0.0312236    0.425326    0.053744    0.75979    0.0308632    0.0102662
4.44449    0.406505    0.0124392    0.279598    0.0134771    0.674395    0.00868736    0.00980235
4.57147    0.416495    0.00772986    0.266752    0.00377455    0.667745    0.00272098    0.00979635
4.69845    0.419715    0.0076634    0.264961    0.00649315    0.66653    0.00397072    0.00986371
4.82544    0.445251    0.0309219    0.229738    0.0538531    0.64498    0.0304537    0.00982343
4.95242    0.502961    0.00670751    0.126113    0.00564947    0.586455    0.00377713    0.00900976
5.0794    0.601179    0.00876105    0.0382983    0.00775861    0.486825    0.00456816    0.00845361
5.20638    0.613553    0.00759095    0.0280514    0.00613419    0.4805    0.00409023    0.0085607
5.33337    0.703322    0.00624553    -0.128671    0.00479535    0.3907    0.0027636    0.0075674
5.46035    0.703853    0.00632083    -0.127292    0.00605597    0.39139    0.00369431    0.00756369
5.58733    0.710349    0.00739479    -0.131236    0.00672603    0.388635    0.00425183    0.00756192
5.71431    0.712464    0.00732225    -0.131878    0.00588244    0.38823    0.00417967    0.00757065
5.8413    0.715025    0.00759441    -0.131891    0.00807498    0.38809    0.00511438    0.00757299
5.96828    0.713858    0.00659351    -0.12818    0.00503137    0.38983    0.00314103    0.00756325
6.09526    0.721689    0.00855666    -0.134001    0.0079948    0.386615    0.00503443    0.00759741
6.22224    0.72805    0.00691241    -0.138717    0.00733483    0.383555    0.00469582    0.00760214
6.34923    0.726315    0.00630457    -0.134179    0.00741986    0.38616    0.00494842    0.00763543
6.47621    0.811112    0.00550452    -0.293224    0.00377184    0.294775    0.00262309    0.00653652
6.60319    0.81505    0.00739349    -0.29722    0.00682849    0.292455    0.00439081    0.00655618
6.73017    0.817999    0.0066981    -0.296512    0.00647094    0.29239    0.00423207    0.00655112
