FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    -0.0070154    0.0067428    0.809916    0.00258718    0.984145    0.00219322    0.0103983
0.127083    -0.00586675    0.00555164    0.80919    0.00307457    0.98356    0.00248524    0.0104012
0.254065    -0.00127908    0.00647875    0.810448    0.00196586    0.984545    0.001685    0.0104174
0.381048    -5.22123e-05    0.00657987    0.810364    0.00270553    0.98459    0.00196263    0.0104111
0.50803    0.00273534    0.00606876    0.810033    0.00297031    0.98421    0.00240591    0.0104146
0.635013    0.00404222    0.00707557    0.810068    0.00244058    0.984345    0.00181514    0.0104465
0.761995    0.0066607    0.00739828    0.809203    0.00241499    0.983655    0.00186674    0.0104439
0.888978    0.00966282    0.0046633    0.809826    0.00290192    0.98414    0.00226835    0.0104754
1.01596    0.00974375    0.0061237    0.809503    0.00256276    0.983815    0.00204378    0.0104917
1.14294    0.0122952    0.00593954    0.809429    0.00259256    0.983735    0.00202695    0.0105233
1.26993    0.0167819    0.00826756    0.809621    0.00294831    0.98373    0.00233497    0.0105571
1.39691    0.0183688    0.00622088    0.809555    0.00293254    0.98362    0.00230013    0.0105733
1.52389    0.0211701    0.0064871    0.809016    0.00309975    0.983465    0.00242848    0.0106185
1.65087    0.0228597    0.00614202    0.809208    0.00288318    0.983505    0.00232352    0.0106361
1.77786    0.0257249    0.0068269    0.809129    0.0028223    0.983415    0.00229217    0.0106853
1.90484    0.0300426    0.0069842    0.80852    0.0029085    0.982885    0.00214255    0.0107289
2.03182    0.0315109    0.00625353    0.809052    0.00315361    0.98326    0.00236271    0.010778
2.1588    0.0327448    0.00772738    0.807939    0.00293064    0.98246    0.00222899    0.0108286
2.28579    0.0365127    0.0076555    0.808018    0.002835    0.982495    0.00229483    0.0108629
2.41277    0.0383037    0.00895067    0.808074    0.00325675    0.982515    0.00239082    0.0109372
2.53975    0.0442996    0.00621343    0.807472    0.00325632    0.981895    0.00278662    0.0109853
2.66673    0.043213    0.00746145    0.805443    0.00693519    0.980965    0.00465054    0.0110737
2.79372    0.0473335    0.00663805    0.806482    0.00315685    0.98134    0.00238158    0.011117
2.9207    0.0484232    0.00808222    0.806591    0.00331151    0.981555    0.00253194    0.0111844
3.04768    0.0523377    0.00766415    0.805298    0.00425831    0.980775    0.00303614    0.0112584
3.17466    0.0563302    0.00810881    0.80538    0.00315552    0.980575    0.00256917    0.011326
3.30165    0.0569556    0.00696823    0.805433    0.00335245    0.980665    0.00259789    0.0114258
3.42863    0.0648628    0.00957844    0.801121    0.00714953    0.977605    0.00465271    0.0115284
3.55561    0.0914875    0.0085789    0.771701    0.00555901    0.959485    0.00364054    0.0117487
3.68259    0.0968079    0.00956493    0.768321    0.00599765    0.95737    0.00406394    0.0118516
3.80958    0.195544    0.0187149    0.626894    0.0339198    0.873675    0.0192022    0.0113172
3.93656    0.279186    0.0342631    0.49778    0.0503361    0.79858    0.0296708    0.010591
4.06354    0.398445    0.00647076    0.306305    0.00281526    0.688125    0.00205381    0.00980562
4.19052    0.400074    0.00848461    0.304996    0.00376773    0.687075    0.00297584    0.0098393
4.31751    0.40268    0.00607545    0.305169    0.00349928    0.68692    0.00275973    0.00986327
4.44449    0.40469    0.00598312    0.304434    0.00302091    0.68678    0.0024488    0.00986708
4.57147    0.409485    0.00631237    0.304119    0.00339398    0.686155    0.00281509    0.00989786
4.69845    0.410449    0.00705342    0.304669    0.00336308    0.68649    0.00285042    0.00994108
4.82544    0.413755    0.00716437    0.303673    0.00317853    0.68606    0.00243134    0.00996891
4.95242    0.416357    0.00738463    0.303252    0.00341816    0.68543    0.00245359    0.0100233
5.0794    0.419218    0.00743578    0.302031    0.00326244    0.684425    0.00292628    0.0100743
5.20638    0.422559    0.00622174    0.301996    0.00301474    0.68444    0.00253996    0.0100821
5.33337    0.484302    0.0434285    0.203449    0.0776671    0.627265    0.0443982    0.00991134
5.46035    0.556196    0.0236002    0.0804324    0.0417708    0.55665    0.0236557    0.00947403
5.58733    0.634359    0.0113178    -0.0556952    0.0116171    0.4783    0.0075075    0.00880566
5.71431    0.66636    0.043352    -0.12334    0.0839931    0.44036    0.0478759    0.0083765
5.8413    0.733358    0.00651869    -0.225189    0.00365816    0.374695    0.00280325    0.00823191
5.96828    0.760027    0.00727638    -0.255683    0.00391245    0.355535    0.003273    0.00828575
6.09526    0.914702    0.0388098    -0.50837    0.0724483    0.17196    0.0414199    0.00636204
6.22224    1.07283    0.0176186    -0.796364    0.0310085    0.005385    0.017689    0.00496935
6.34923    1.07911    0.00418251    -0.803476    0.00155485    0.00097    0.00118811    0.00481884
6.47621    1.0808    0.00388861    -0.803109    0.00174232    0.000985    0.0013596    0.00473676
6.60319    1.08299    0.00325214    -0.803001    0.00147439    0.00097    0.0011109    0.00466011
6.73017    1.08503    0.00349517    -0.802381    0.00157678    0.00074    0.00130859    0.00458113
6.85716    1.08797    0.0039982    -0.802186    0.00174572    0.000795    0.00137176    0.00449788
6.98414    1.08918    0.00421448    -0.801642    0.00174456    0.000535    0.00123896    0.00442607
7.11112    1.09224    0.00335487    -0.801535    0.0017361    0.000755    0.00111522    0.00435629
7.2381    1.09457    0.00333176    -0.801466    0.0016825    0.000435    0.00131891    0.0042823
7.36509    1.0971    0.00372409    -0.801433    0.0014542    0.00059    0.00104852    0.00420681
7.49207    1.09887    0.00332479    -0.800454    0.00190389    0.00058    0.00109252    0.00413933
7.61905    1.10094    0.00325403    -0.800152    0.0017407    0.00074    0.00115862    0.00407567
7.74603    1.10346    0.00386275    -0.799833    0.00170526    0.001085    0.00104237    0.0040022
7.87302    1.10534    0.00356619    -0.799675    0.00150791    0.000575    0.00121886    0.00394292
8    1.10738    0.00336138    -0.798912    0.00176813    0.00061    0.00126803    0.00387752
