FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    0.000769668    0.00630006    0.813715    0.00234231    0.986625    0.00198762    0.00958914
0.127083    0.00241153    0.00563664    0.813469    0.00251337    0.986565    0.00207714    0.00959148
0.254065    0.00517902    0.00532386    0.812811    0.00286841    0.986105    0.00228204    0.0096005
0.381048    0.00642133    0.00587127    0.81334    0.00247829    0.986375    0.00223788    0.00960866
0.50803    0.00870584    0.00595933    0.813019    0.00214914    0.98616    0.00197785    0.00961623
0.635013    0.0131383    0.00697145    0.812913    0.00216192    0.986245    0.00192516    0.00962936
0.761995    0.0141919    0.00531169    0.812838    0.00203533    0.98596    0.00164192    0.00965612
0.888978    0.0164317    0.00698681    0.812589    0.0028136    0.98595    0.00225832    0.0096677
1.01596    0.0178693    0.00661428    0.813145    0.00200639    0.98627    0.00174416    0.00968893
1.14294    0.0210706    0.0056831    0.812995    0.0022369    0.9862    0.00183848    0.00972379
1.26993    0.0226323    0.00521228    0.812922    0.002247    0.9862    0.00190329    0.00974515
1.39691    0.02473    0.00635346    0.812163    0.00212964    0.985605    0.00168752    0.00978559
1.52389    0.0264764    0.0055281    0.813017    0.00242979    0.98645    0.00186815    0.00982573
1.65087    0.029038    0.00657174    0.81236    0.00236936    0.985795    0.00204798    0.00986491
1.77786    0.0329276    0.00506329    0.812515    0.00224445    0.986035    0.00172047    0.00990659
1.90484    0.0352572    0.00590257    0.812003    0.00228597    0.98568    0.00174359    0.00995526
2.03182    0.0372789    0.00605327    0.811584    0.00254547    0.985405    0.00212302    0.00999973
2.1588    0.0397091    0.00660564    0.811965    0.00285494    0.98546    0.00232398    0.0100447
2.28579    0.0428363    0.00600679    0.810968    0.00232912    0.984805    0.00198198    0.0101216
2.41277    0.0436753    0.00729177    0.811624    0.00253421    0.985255    0.00207514    0.0101692
2.53975    0.0459008    0.00764709    0.811202    0.00251859    0.984965    0.00201619    0.0102291
2.66673    0.047591    0.0068247    0.810296    0.00315279    0.98417    0.00257849    0.0103002
2.79372    0.0515233    0.00618566    0.8106    0.00263807    0.984555    0.00216292    0.0103654
2.9207    0.0540337    0.00582398    0.81045    0.00317738    0.98452    0.00245909    0.0104467
3.04768    0.0561345    0.00661801    0.809417    0.00305532    0.98381    0.00234497    0.0105207
3.17466    0.0602658    0.00621231    0.808919    0.00288681    0.98356    0.00227022    0.0106091
3.30165    0.0604431    0.00708179    0.809128    0.00290837    0.98356    0.00242928    0.01069
3.42863    0.0627348    0.00852404    0.808541    0.0037554    0.98333    0.00280777    0.0107656
3.55561    0.0661802    0.00707571    0.808364    0.00306541    0.98291    0.00251732    0.0108744
3.68259    0.0728569    0.00807694    0.804997    0.0054484    0.98058    0.0037015    0.0109873
3.80958    0.0746676    0.00799495    0.803599    0.00553342    0.97968    0.00390898    0.0111151
3.93656    0.0759914    0.00856925    0.804792    0.0052683    0.98052    0.00368166    0.0111826
4.06354    0.112176    0.0163836    0.765356    0.0163729    0.95608    0.0103938    0.01166
4.19052    0.118037    0.0120164    0.7662    0.011741    0.95621    0.00772939    0.0116394
4.31751    0.190376    0.0264398    0.652648    0.0445032    0.8893    0.0257507    0.0112715
4.44449    0.217161    0.0102392    0.604763    0.00644349    0.862205    0.00472644    0.0108835
4.57147    0.222073    0.0121753    0.601916    0.00714433    0.86015    0.00485464    0.0109657
4.69845    0.263429    0.0359658    0.531153    0.0654539    0.81936    0.0371984    0.0107223
4.82544    0.306863    0.00937413    0.459286    0.0069621    0.778285    0.00473524    0.0102962
4.95242    0.398063    0.00752944    0.298819    0.00439068    0.6856    0.00310363    0.00964892
5.0794    0.408034    0.0117731    0.290468    0.0103149    0.680185    0.00657378    0.00981678
5.20638    0.500654    0.00723402    0.127312    0.00406139    0.586735    0.0031786    0.00907509
5.33337    0.635536    0.0422522    -0.104545    0.0798117    0.45356    0.0458314    0.00818939
5.46035    0.696588    0.00553591    -0.215644    0.00300506    0.389615    0.00241672    0.00782114
5.58733    0.699401    0.00686239    -0.215485    0.00316043    0.38956    0.00242052    0.00780203
5.71431    0.800325    0.00541979    -0.385112    0.00267478    0.291095    0.00222367    0.00712763
5.8413    0.803453    0.00616407    -0.385234    0.00300229    0.290975    0.00261689    0.00712951
5.96828    0.806091    0.00658081    -0.386413    0.00438627    0.29024    0.00311928    0.00712738
6.09526    0.808081    0.00653833    -0.38578    0.00321569    0.290165    0.00247164    0.0071081
6.22224    0.810266    0.00550659    -0.386215    0.00352105    0.28954    0.00264119    0.00711471
6.34923    0.812984    0.00465187    -0.386407    0.00400655    0.28954    0.00267412    0.00710715
6.47621    0.90171    0.00666077    -0.474454    0.00523318    0.190255    0.00337842    0.00624555
6.60319    0.902558    0.00529548    -0.471853    0.00338986    0.19135    0.00226881    0.00618039
6.73017    0.994668    0.00382856    -0.635462    0.00149881    0.097065    0.00122863    0.00497122
6.85716    0.997358    0.00407599    -0.634929    0.00148184    0.097035    0.00114783    0.00492229
6.98414    1.00241    0.00653636    -0.638033    0.00557834    0.09494    0.00394448    0.00493419
7.11112    1.09316    0.00299558    -0.80291    0.0013594    -0.00052    0.0010245    0.00389242
7.2381    1.09542    0.00311656    -0.802482    0.00135269    -0.000595    0.00111006    0.00382929
7.36509    1.09702    0.00329531    -0.802061    0.00155243    -0.000315    0.000830376    0.00375458
7.49207    1.09892    0.00313327    -0.801919    0.00129508    -0.000445    0.00103597    0.00369714
7.61905    1.10182    0.00315138    -0.801593    0.00152295    -0.00071    0.00107047    0.00363544
7.74603    1.104    0.00268069    -0.801288    0.00132329    -0.00016    0.00119766    0.00358111
7.87302    1.10638    0.00294505    -0.80082    0.00125708    -0.00044    0.00105896    0.00351485
8    1.10804    0.00299624    -0.800566    0.00147842    -0.00027    0.000790316    0.00346044
