FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    -0.00457203    0.00434407    0.813386    0.00232583    0.98634    0.00200422    0.00967375
0.127083    -0.00201361    0.00620875    0.813502    0.00237524    0.986385    0.00203114    0.00967984
0.254065    -0.000119434    0.00669851    0.813552    0.00219838    0.986325    0.00183047    0.00968591
0.381048    0.00371177    0.00580547    0.812995    0.00242958    0.98593    0.00207487    0.00969055
0.50803    0.00483361    0.00598898    0.813105    0.00188845    0.986025    0.00161187    0.00970995
0.635013    0.00681149    0.00666514    0.813627    0.00215582    0.986455    0.001935    0.00973262
0.761995    0.00970441    0.00598872    0.813162    0.0021006    0.985875    0.0017967    0.00974657
0.888978    0.0131754    0.00548301    0.812568    0.00228808    0.985465    0.00204268    0.00978661
1.01596    0.0123017    0.00618018    0.812714    0.00208324    0.985765    0.00185567    0.00980338
1.14294    0.0157001    0.00587214    0.812911    0.00214336    0.98586    0.00178827    0.00983286
1.26993    0.0173177    0.00584013    0.812901    0.0023269    0.98577    0.0018966    0.00987537
1.39691    0.018332    0.00525576    0.812782    0.00203815    0.985805    0.00176443    0.00989849
1.52389    0.0207559    0.00657343    0.813151    0.00233508    0.985925    0.00201634    0.00993719
1.65087    0.0241467    0.00604668    0.811812    0.00225944    0.984775    0.00191719    0.00997319
1.77786    0.0279883    0.00628743    0.812304    0.00217486    0.985115    0.00189619    0.0100287
1.90484    0.029607    0.00644731    0.812143    0.00211431    0.98513    0.00190147    0.0100807
2.03182    0.0311319    0.00571588    0.811429    0.00251403    0.984645    0.00205249    0.0101262
2.1588    0.0336641    0.00607246    0.811033    0.00205439    0.984225    0.00191328    0.010176
2.28579    0.0372127    0.00569812    0.810876    0.00294623    0.984145    0.00238856    0.0102387
2.41277    0.0372385    0.00615069    0.812109    0.00187658    0.985015    0.00157671    0.0102929
2.53975    0.0427127    0.00686279    0.81106    0.00291428    0.98424    0.00227374    0.0103578
2.66673    0.0435596    0.00575196    0.810936    0.00284073    0.984065    0.00219932    0.0104334
2.79372    0.0452065    0.00586663    0.809699    0.00284176    0.9832    0.00233452    0.0105056
2.9207    0.0482264    0.00646386    0.80931    0.002874    0.982755    0.00218946    0.0105735
3.04768    0.0517657    0.00515719    0.809318    0.00283243    0.98302    0.00228574    0.0106549
3.17466    0.052055    0.00717142    0.808957    0.00373914    0.98264    0.00279516    0.0107416
3.30165    0.0555862    0.00779057    0.806658    0.00812418    0.98139    0.00496215    0.0108585
3.42863    0.0592386    0.00766466    0.807626    0.00490604    0.981905    0.00356647    0.0109351
3.55561    0.174277    0.0069184    0.639711    0.00515128    0.883005    0.00372038    0.0103809
3.68259    0.17397    0.00714068    0.641045    0.00292959    0.883865    0.00253141    0.0104346
3.80958    0.177004    0.00586827    0.640054    0.00290425    0.883205    0.0024278    0.0104953
