FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    -0.00225826    0.0061587    0.813196    0.00216065    0.985955    0.0019044    0.0095748
0.127083    0.00224035    0.00544084    0.813969    0.00211951    0.98671    0.00155913    0.00958306
0.254065    0.00286859    0.00683197    0.813192    0.00218584    0.986095    0.00182681    0.00958928
0.381048    0.00579234    0.00653427    0.813666    0.0024467    0.98626    0.00208384    0.00960041
0.50803    0.00802463    0.00622702    0.813522    0.00227357    0.98637    0.00182431    0.0096122
0.635013    0.0108094    0.0070864    0.813801    0.00222724    0.986635    0.00174371    0.00963475
0.761995    0.0119819    0.00637657    0.813291    0.00226434    0.986015    0.00205208    0.0096634
0.888978    0.0134528    0.00683619    0.813188    0.00207846    0.985905    0.0018654    0.00969421
1.01596    0.0164952    0.00592534    0.812181    0.00275195    0.985365    0.00216807    0.00972579
1.14294    0.0181301    0.00619336    0.813466    0.00292205    0.986285    0.00236009    0.00974869
1.26993    0.0217367    0.00651494    0.813312    0.00198117    0.98604    0.00186438    0.00977566
1.39691    0.0238785    0.00584753    0.812903    0.00235063    0.985705    0.00201723    0.00981263
1.52389    0.0275222    0.00698037    0.811934    0.0038472    0.98489    0.00296191    0.00987303
1.65087    0.0292638    0.00730391    0.811896    0.00333018    0.985005    0.00248922    0.00991246
1.77786    0.0309887    0.00592902    0.812405    0.00223247    0.985335    0.0018799    0.00994395
1.90484    0.0328483    0.00647628    0.811178    0.00336438    0.984475    0.00257063    0.0100178
2.03182    0.0344455    0.00664509    0.811959    0.00209377    0.984905    0.00191173    0.01005
2.1588    0.0362751    0.00581072    0.811678    0.0034624    0.984895    0.00263728    0.010114
2.28579    0.0382855    0.00539125    0.811608    0.00218349    0.984835    0.00166028    0.0101752
2.41277    0.0407869    0.00660688    0.811093    0.00270725    0.98437    0.0019964    0.0102505
2.53975    0.0450511    0.00691943    0.810492    0.00295279    0.98393    0.00218749    0.0103058
2.66673    0.0476798    0.00740127    0.809145    0.00355621    0.98291    0.00246716    0.0103865
2.79372    0.0505048    0.00814649    0.808207    0.00472166    0.982275    0.00342719    0.0104882
2.9207    0.0514323    0.00556375    0.810439    0.00244869    0.98349    0.00227539    0.0105288
3.04768    0.0567684    0.00761185    0.805843    0.00510863    0.980615    0.003334    0.0106531
3.17466    0.0625656    0.0111377    0.801347    0.0101307    0.97784    0.00654117    0.0107975
3.30165    0.0567388    0.00712238    0.809708    0.0021938    0.983205    0.00185586    0.0107894
3.42863    0.0632034    0.00952757    0.804648    0.00780258    0.98004    0.00523172    0.0109297
3.55561    0.0686575    0.00805776    0.803207    0.00438645    0.97891    0.00313439    0.0110457
3.68259    0.0752594    0.00832443    0.798379    0.00454637    0.975945    0.00319699    0.0111785
3.80958    0.073478    0.012064    0.801183    0.0085577    0.97731    0.00560815    0.011248
3.93656    0.0976348    0.0236406    0.78349    0.0216142    0.957435    0.0260285    0.0114624
4.06354    0.179513    0.00901341    0.708964    0.00671836    0.875375    0.0045432    0.0110333
4.19052    0.242627    0.0371768    0.599117    0.0709471    0.812175    0.0408687    0.0108966
4.31751    0.289089    0.00862991    0.522135    0.00739787    0.767305    0.00489599    0.0107395
4.44449    0.391461    0.0104126    0.36099    0.0115391    0.672485    0.00732383    0.00996801
4.57147    0.38968    0.0112813    0.364138    0.0104392    0.67462    0.00665512    0.0100139
4.69845    0.485937    0.0058348    0.202916    0.00366782    0.58199    0.00285655    0.0091168
4.82544    0.486846    0.00595349    0.203174    0.00338874    0.582105    0.0025155    0.00912692
4.95242    0.492549    0.00771    0.201402    0.00435947    0.58065    0.0029219    0.00919073
5.0794    0.660202    0.0236612    -0.0800765    0.0520455    0.4186    0.0291622    0.00798442
5.20638    0.682472    0.0055805    -0.126904    0.00323125    0.392685    0.00218392    0.00756228
5.33337    0.684617    0.00635806    -0.127045    0.00318045    0.39233    0.0023181    0.00757289
5.46035    0.767831    0.0234067    -0.283062    0.0457129    0.302065    0.0262713    0.00718231
5.58733    0.783812    0.00924091    -0.305383    0.00941974    0.289505    0.00627505    0.00709886
5.71431    0.880351    0.00576931    -0.462625    0.00548494    0.196415    0.00329872    0.00611917
5.8413    0.984166    0.00390625    -0.631624    0.00168491    0.099335    0.00140855    0.00527176
5.96828    0.985976    0.00429728    -0.631176    0.00175812    0.099235    0.0012554    0.00522386
6.09526    0.988321    0.00295956    -0.631087    0.00112706    0.09923    0.00130943    0.00515164
6.22224    0.990015    0.00386966    -0.630747    0.00140639    0.099225    0.00120442    0.00510017
6.34923    0.993166    0.0039198    -0.631412    0.00169355    0.099165    0.00131207    0.00504915
6.47621    0.993618    0.00402529    -0.63015    0.00141485    0.099155    0.00130374    0.00498731
6.60319    0.996047    0.00446766    -0.629806    0.00169604    0.09911    0.00149178    0.00493617
6.73017    0.999201    0.00330624    -0.630146    0.00160029    0.09897    0.00126258    0.00488522
6.85716    0.999805    0.00430347    -0.629388    0.00154362    0.099235    0.0011973    0.00484292
6.98414    1.00283    0.00369864    -0.629617    0.00171267    0.09923    0.00125881    0.00478877
7.11112    1.00506    0.00376224    -0.628839    0.00148286    0.09904    0.00116121    0.00474246
7.2381    1.00861    0.00502601    -0.630389    0.0049781    0.097935    0.00329006    0.00471264
7.36509    1.0093    0.00393397    -0.628726    0.00144729    0.098995    0.0015145    0.00465324
7.49207    1.01362    0.00675725    -0.63157    0.00680465    0.096865    0.00429628    0.00466091
7.61905    1.01381    0.00436662    -0.628281    0.00306998    0.098585    0.00179834    0.00458205
7.74603    1.10058    0.0145236    -0.795063    0.0309033    0.003765    0.0175146    0.00366423
7.87302    1.1047    0.0029781    -0.80094    0.00144626    0.00067    0.00125044    0.00353769
8    1.10738    0.00333784    -0.800885    0.00110565    0.00046    0.00096871    0.00347559
