FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    -0.0178719    0.0122017    0.723663    0.00664712    0.945515    0.00484056    0.0381027
0.258161    -0.00839543    0.01209    0.720295    0.00821162    0.942915    0.00620556    0.0381771
0.516223    -1.85967e-05    0.0124519    0.723589    0.00823937    0.945255    0.00647833    0.0382064
0.774284    0.0156066    0.0117144    0.721287    0.00710461    0.943665    0.00544348    0.0383156
1.03235    0.0243622    0.0140076    0.721446    0.00767717    0.94332    0.00604918    0.0384435
1.29041    0.0367731    0.0126063    0.718816    0.00886597    0.941465    0.00641911    0.0386969
1.54847    0.0507911    0.0166087    0.711096    0.0156037    0.936425    0.010745    0.039027
1.80653    0.168364    0.0144263    0.636154    0.0127188    0.8437    0.00900472    0.0384735
2.06459    0.402149    0.0155651    0.331841    0.0174653    0.65475    0.010413    0.0371929
2.32265    0.708178    0.0269547    -0.098859    0.037058    0.388245    0.0226366    0.0350408
2.58071    0.894005    0.0616857    -0.357134    0.0892515    0.229255    0.0558537    0.0333239
2.83877    0.970828    0.0389071    -0.455681    0.0565204    0.169105    0.0351867    0.0321659
3.09684    1.1622    0.0075154    -0.726027    0.00520284    -0.00065    0.00436921    0.0295556
3.3549    1.17341    0.0109557    -0.728315    0.00671933    0.000185    0.00416257    0.0287739
3.61296    1.17811    0.00819227    -0.726367    0.00497864    -2e-05    0.0033981    0.0281242
3.87102    1.18586    0.00749818    -0.726474    0.00448255    0.00054    0.00467423    0.0274328
4.12908    1.1959    0.00758437    -0.727551    0.00442069    0.000975    0.00417171    0.0267685
4.38714    1.20427    0.00808944    -0.72863    0.00512711    7e-05    0.00380954    0.0261573
4.6452    1.21256    0.00706291    -0.727674    0.0044319    0.00108    0.00425836    0.025542
4.90326    1.22153    0.00748333    -0.729109    0.00422014    0.00026    0.00350356    0.0249454
5.16133    1.22798    0.00700658    -0.727525    0.00413316    -3.5e-05    0.0040571    0.0243976
5.41939    1.23652    0.00777847    -0.727837    0.0042724    0.00062    0.00364014    0.0238324
5.67745    1.24305    0.00653144    -0.726113    0.00402387    5e-06    0.00297132    0.0233074
5.93551    1.25207    0.00650671    -0.726246    0.00469952    0.00035    0.00415181    0.0227876
6.19357    1.26102    0.00661652    -0.726533    0.00397849    -0.000375    0.00288542    0.0222683
6.45163    1.26588    0.00643201    -0.724935    0.00448294    0.00015    0.00276677    0.0217879
6.70969    1.27349    0.00737646    -0.724486    0.0048414    0.000505    0.00316247    0.021333
6.96775    1.28389    0.00690303    -0.72553    0.00479617    0.0002    0.00255685    0.020852
7.22582    1.29029    0.00555157    -0.723161    0.00338528    -1e-05    0.00337007    0.0204226
7.48388    1.29753    0.00544098    -0.721806    0.00459529    0.00058    0.00309008    0.0200225
7.74194    1.305    0.00517981    -0.721661    0.00337922    0.000965    0.00260721    0.0196073
8    1.31533    0.00535536    -0.721505    0.00355959    0.00064    0.0025584    0.0191953
