FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    -0.0108164    0.0114525    0.719271    0.0068177    0.94147    0.00533049    0.0391951
0.258161    0.000483804    0.0129717    0.716607    0.00846534    0.93943    0.00671529    0.0392447
0.516223    0.00919231    0.0110228    0.718164    0.00615118    0.94016    0.00496331    0.0392933
0.774284    0.021043    0.0150959    0.716665    0.00909781    0.939185    0.00709345    0.0395215
1.03235    0.0283167    0.0126008    0.715072    0.00939716    0.938345    0.00729621    0.0396157
1.29041    0.0434573    0.0170512    0.713609    0.0106884    0.93741    0.00796645    0.039874
1.54847    0.0628766    0.0203509    0.701973    0.0181544    0.929355    0.012269    0.04032
1.80653    0.287326    0.015185    0.49161    0.0115176    0.749875    0.00868076    0.0390028
2.06459    0.51392    0.0156061    0.187753    0.0114624    0.559715    0.00780993    0.0377621
2.32265    0.529318    0.0111213    0.185656    0.00792455    0.559345    0.00656313    0.0373837
2.58071    0.74829    0.0325187    -0.125095    0.0464842    0.36815    0.0295042    0.0358095
2.83877    1.00714    0.0482535    -0.508254    0.0709852    0.1318    0.0440786    0.0328519
3.09684    1.0584    0.00975625    -0.573564    0.00609596    0.09219    0.00542599    0.0317211
3.3549    1.06585    0.0113817    -0.573488    0.00877435    0.0926    0.00582623    0.0311259
3.61296    1.17331    0.00847382    -0.725521    0.00488589    -0.000755    0.00460692    0.0291896
3.87102    1.17884    0.00909285    -0.7246    0.00547323    0.000265    0.00411564    0.0284863
4.12908    1.18813    0.00822997    -0.725059    0.00536757    0.001275    0.00452583    0.0277633
4.38714    1.19941    0.00748927    -0.726777    0.00457725    0.00075    0.00301247    0.0271609
4.6452    1.20583    0.00806666    -0.725601    0.00501719    0.000545    0.00360024    0.0265144
4.90326    1.21481    0.00746111    -0.726234    0.00391055    0.000935    0.00379072    0.0259048
5.16133    1.22145    0.00842314    -0.725419    0.00548206    -0.000195    0.00367535    0.0253377
5.41939    1.22872    0.00758203    -0.724629    0.00506958    0.00013    0.00426475    0.0247379
5.67745    1.23875    0.00750121    -0.725129    0.00544877    -0.0004    0.00325576    0.0241948
5.93551    1.24628    0.00676901    -0.724589    0.00420569    0.00057    0.00325309    0.0236679
6.19357    1.25368    0.0068506    -0.722908    0.00463605    0.00047    0.00365262    0.0231334
6.45163    1.26245    0.00702767    -0.722827    0.00478061    0.00093    0.00323073    0.022651
6.70969    1.27012    0.00580678    -0.722505    0.00422194    -4e-05    0.00280462    0.0221665
6.96775    1.27753    0.00646517    -0.722035    0.00510657    0.00018    0.00285615    0.0216935
7.22582    1.28691    0.00672309    -0.721197    0.00473523    -0.0002    0.00330794    0.0212408
7.48388    1.29309    0.00550742    -0.721024    0.00338472    0.000255    0.00308889    0.0208119
7.74194    1.30099    0.00456467    -0.720205    0.00367479    2e-05    0.00310074    0.0203677
8    1.30968    0.00597368    -0.719081    0.00380852    0.00044    0.00243596    0.0199543
