FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    0.00100659    0.0127781    0.726663    0.00684317    0.946865    0.00531089    0.0378921
0.258161    0.0092526    0.0115515    0.725374    0.00843656    0.94568    0.00664437    0.0378723
0.516223    0.0196458    0.0113551    0.724533    0.00718378    0.94489    0.00532075    0.0379012
0.774284    0.0325681    0.0125344    0.724095    0.00685305    0.94445    0.00536749    0.0379834
1.03235    0.0469451    0.0105215    0.72325    0.00587583    0.94346    0.00505355    0.0381285
1.29041    0.157008    0.0134291    0.571817    0.00592484    0.84761    0.00555656    0.0380275
1.54847    0.281399    0.0147216    0.495135    0.0106638    0.751925    0.0074282    0.0375142
1.80653    0.289765    0.0120042    0.497772    0.00779379    0.754135    0.0050317    0.0373827
2.06459    0.299074    0.0114531    0.494725    0.0100084    0.75275    0.00750233    0.0374578
2.32265    0.426838    0.0205563    0.327713    0.0209276    0.648165    0.0142646    0.0369239
2.58071    0.683272    0.0474749    -0.00986159    0.0638049    0.437195    0.0391828    0.0348298
2.83877    0.757223    0.0145869    -0.109135    0.0140709    0.37627    0.0104582    0.0334571
3.09684    0.994387    0.075115    -0.463352    0.120477    0.1618    0.0726887    0.0310984
3.3549    1.14418    0.0432035    -0.688279    0.0668034    0.025445    0.040286    0.0289228
3.61296    1.17965    0.00908868    -0.728934    0.00597381    0.001125    0.00322578    0.0279191
3.87102    1.18692    0.0080347    -0.729044    0.00460732    0.000375    0.00370852    0.0272539
4.12908    1.19381    0.00750158    -0.728337    0.00410437    0.000805    0.00385788    0.0265831
4.38714    1.20094    0.00722623    -0.728319    0.00474448    0.000265    0.00404766    0.0259786
4.6452    1.20972    0.00638581    -0.728107    0.00445696    0.0002    0.00367662    0.0253491
4.90326    1.21834    0.00837087    -0.728907    0.0044642    0.00112    0.00281924    0.0247454
5.16133    1.22728    0.00836294    -0.729292    0.0046221    0.00102    0.00300202    0.0241889
5.41939    1.23301    0.00892668    -0.727699    0.00524724    0.001145    0.00349181    0.0236021
5.67745    1.2419    0.00650555    -0.726809    0.00461824    0.00084    0.00299239    0.0231118
5.93551    1.25026    0.00718573    -0.727405    0.00528683    0.000485    0.00341592    0.022565
6.19357    1.25993    0.00596491    -0.727723    0.00399453    0.000525    0.0027112    0.0220784
6.45163    1.26613    0.00606508    -0.725904    0.00373773    0.00108    0.00237247    0.0216054
6.70969    1.27333    0.00718185    -0.726217    0.00402514    0.00033    0.00270806    0.0211
6.96775    1.28083    0.00542378    -0.724556    0.00396221    -1e-05    0.00278386    0.0206723
7.22582    1.28905    0.00614386    -0.724499    0.00443369    0.000395    0.00255004    0.0202093
7.48388    1.29737    0.00570942    -0.723477    0.00347767    0.000765    0.00247407    0.0198237
7.74194    1.30568    0.00540971    -0.722112    0.00369305    0.00075    0.0025976    0.0193758
8    1.31242    0.00561859    -0.721249    0.00408168    0.000475    0.00260348    0.0189808
